project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-pool2-2.11.1-src,7120,6979,63,6,72,0.981,0.99,0.99,0.9904,0.9911,0.0769,0.989,0.011,0.9844,0.9922,0.0118,-0.0034,-0.0018,0.0651,0.31,0.45,0.4
commons-numbers-1.0-src,39522,39252,21,5,244,0.9933,0.99,1.0,0.9966,0.9995,0.0201,0.9937,0.0063,0.9871,0.9935,0.008,0.0062,0.0031,0.0121,0.18,0.29,0.25
http-request,4043,4026,0,0,17,0.9958,1.0,1.0,0.9979,1.0,0.0,0.9958,0.0042,0.9912,0.9956,0.0,0.0046,0.0023,0.0,0.27,0.4,0.34
JSON-java,12604,12404,3,0,197,0.9841,0.98,1.0,0.992,0.9998,0.0,0.9844,0.0156,0.9683,0.9839,0.01,0.0158,0.0081,-0.01,0.24,0.47,0.4
jsoup,7997,7414,67,8,508,0.9281,0.94,0.99,0.9627,0.991,0.0155,0.9355,0.0645,0.8804,0.9361,0.0734,0.0477,0.0266,-0.0579,0.11,0.4,0.28
joda-time,24002,22185,46,26,1745,0.9254,0.93,1.0,0.9612,0.9979,0.0147,0.9262,0.0738,0.8797,0.9357,0.0751,0.0457,0.0255,-0.0604,0.27,0.44,0.38
spark,4704,4311,15,4,374,0.9173,0.92,1.0,0.9568,0.9965,0.0106,0.9196,0.0804,0.8639,0.9265,0.0802,0.0534,0.0303,-0.0696,0.33,0.45,0.4
commons-lang3-3.12.0-src,12102,10435,238,49,1380,0.8663,0.88,0.98,0.9281,0.9777,0.0343,0.8819,0.1181,0.7925,0.8823,0.1292,0.0738,0.0458,-0.0949,0.21,0.33,0.27
commons-jcs3-3.1-src,4423,3848,0,2,573,0.8704,0.87,1.0,0.9307,1.0,0.0035,0.87,0.13,0.7645,0.8638,0.1275,0.1059,0.0669,-0.124,0.3,0.37,0.34
commons-collections4-4.4-src,1345,1184,1,2,158,0.8818,0.88,1.0,0.9371,0.9992,0.0125,0.881,0.119,0.7784,0.8729,0.1381,0.1034,0.0642,-0.1256,0.36,0.41,0.39
commons-validator-1.7,2608,2108,107,2,391,0.809,0.84,0.95,0.8944,0.9517,0.0051,0.8493,0.1507,0.7497,0.8528,0.1635,0.0593,0.0416,-0.1584,0.27,0.34,0.3
bcel-6.5.0-src,15366,12570,210,15,2571,0.819,0.83,0.98,0.9004,0.9836,0.0058,0.8317,0.1683,0.7207,0.8319,0.1767,0.0983,0.0685,-0.1709,0.28,0.41,0.34
commons-imaging-1.0-alpha3-src,2827,2223,26,0,578,0.7863,0.79,0.99,0.8804,0.9884,0.0,0.7955,0.2045,0.6747,0.7958,0.2016,0.1116,0.0846,-0.2016,0.29,0.43,0.37
commons-geometry-1.0-src,5252,4001,61,22,1168,0.766,0.77,0.98,0.8669,0.985,0.0185,0.7734,0.2266,0.65,0.7733,0.2302,0.116,0.0936,-0.2117,0.3,0.41,0.36
commons-dbutils-1.7,722,571,0,0,151,0.7909,0.79,1.0,0.8832,1.0,0.0,0.7909,0.2091,0.6703,0.7909,0.2217,0.1206,0.0923,-0.2217,0.29,0.43,0.38
commons-jexl3-3.2.1-src,2938,2240,4,4,690,0.7638,0.76,1.0,0.8659,0.9982,0.0058,0.7638,0.2362,0.6397,0.7645,0.2313,0.1241,0.1014,-0.2255,0.27,0.41,0.33
springside4,2571,1751,101,40,679,0.6966,0.72,0.95,0.8178,0.9455,0.0556,0.7203,0.2797,0.5954,0.7181,0.2816,0.1012,0.0997,-0.226,0.25,0.33,0.29
commons-rng-1.4-src,1640,1164,44,18,414,0.7207,0.74,0.96,0.8356,0.9636,0.0417,0.7366,0.2634,0.619,0.7413,0.2774,0.1017,0.0943,-0.2357,0.28,0.36,0.32
commons-vfs-2.9.0,1061,778,0,0,283,0.7333,0.73,1.0,0.8461,1.0,0.0,0.7333,0.2667,0.604,0.7279,0.2723,0.1293,0.1182,-0.2723,0.31,0.4,0.36
async-http-client,160,113,0,0,47,0.7062,0.71,1.0,0.8278,1.0,0.0,0.7062,0.2938,0.5883,0.7115,0.2749,0.1179,0.1163,-0.2749,0.34,0.42,0.39
commons-configuration2-2.8.0-src,1233,828,2,2,401,0.6732,0.67,1.0,0.8043,0.9976,0.005,0.6732,0.3268,0.5644,0.6782,0.3232,0.1088,0.1261,-0.3182,0.27,0.38,0.32
commons-net-3.8.0,3365,2219,11,5,1130,0.6609,0.66,1.0,0.7955,0.9951,0.0044,0.6627,0.3373,0.5552,0.6661,0.3304,0.1057,0.1294,-0.326,0.31,0.32,0.31
commons-weaver-2.0-src,227,148,2,0,77,0.652,0.66,0.99,0.7893,0.9867,0.0,0.6608,0.3392,0.5548,0.6629,0.3453,0.0972,0.1264,-0.3453,0.32,0.39,0.35
commons-beanutils-1.9.4,1707,992,10,2,703,0.5823,0.59,0.99,0.7356,0.99,0.0028,0.587,0.413,0.5195,0.5895,0.4227,0.0628,0.1461,-0.4199,0.24,0.36,0.29
scribejava,173,93,0,0,80,0.5376,0.54,1.0,0.6992,1.0,0.0,0.5376,0.4624,0.5027,0.5064,0.5046,0.0349,0.1928,-0.5046,0.29,0.4,0.35
all,159712,143837,1032,212,14631,0.9019,0.91,0.99,0.9484,0.9929,0.0143,0.9071,0.0929,0.8367,0.9103,0.0894,0.0652,0.0381,-0.0751,0.24,0.37,0.32
