project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-pool2-2.11.1-src,11244,11043,116,6,79,0.9827,0.99,0.99,0.9912,0.9896,0.0706,0.9924,0.0076,0.9844,0.9922,0.0118,-0.0017,-0.001,0.0588,0.36,0.5,0.46
commons-numbers-1.0-src,39866,39596,21,5,244,0.9934,0.99,1.0,0.9967,0.9995,0.0201,0.9938,0.0062,0.9871,0.9935,0.008,0.0063,0.0032,0.0121,0.18,0.29,0.26
http-request,4069,4051,0,0,18,0.9956,1.0,1.0,0.9978,1.0,0.0,0.9956,0.0044,0.9912,0.9956,0.0,0.0044,0.0022,0.0,0.27,0.4,0.34
JSON-java,12911,12707,3,0,201,0.9842,0.98,1.0,0.992,0.9998,0.0,0.9844,0.0156,0.9683,0.9839,0.01,0.0159,0.0081,-0.01,0.24,0.47,0.4
jsoup,8002,7417,67,8,510,0.9279,0.94,0.99,0.9626,0.991,0.0154,0.9353,0.0647,0.8804,0.9361,0.0734,0.0475,0.0265,-0.058,0.11,0.4,0.28
joda-time,27480,25662,46,26,1746,0.9348,0.94,1.0,0.9663,0.9982,0.0147,0.9355,0.0645,0.8797,0.9357,0.0751,0.0551,0.0306,-0.0604,0.28,0.47,0.41
spark,5280,4872,15,4,389,0.9235,0.93,1.0,0.9602,0.9969,0.0102,0.9256,0.0744,0.8639,0.9265,0.0802,0.0596,0.0337,-0.07,0.33,0.47,0.42
commons-lang3-3.12.0-src,12118,10448,238,49,1383,0.8662,0.88,0.98,0.928,0.9777,0.0342,0.8818,0.1182,0.7925,0.8823,0.1292,0.0737,0.0457,-0.095,0.21,0.33,0.27
commons-jcs3-3.1-src,4562,3940,0,2,620,0.8641,0.86,1.0,0.9271,1.0,0.0032,0.8637,0.1363,0.7645,0.8638,0.1275,0.0996,0.0633,-0.1243,0.3,0.39,0.35
commons-collections4-4.4-src,1389,1216,1,2,170,0.8769,0.88,1.0,0.9343,0.9992,0.0116,0.8762,0.1238,0.7784,0.8729,0.1381,0.0985,0.0614,-0.1265,0.36,0.42,0.4
commons-validator-1.7,2616,2116,107,2,391,0.8096,0.84,0.95,0.8947,0.9519,0.0051,0.8498,0.1502,0.7497,0.8528,0.1635,0.0599,0.0419,-0.1584,0.27,0.34,0.3
bcel-6.5.0-src,15379,12583,210,15,2571,0.8192,0.83,0.98,0.9005,0.9836,0.0058,0.8318,0.1682,0.7207,0.8319,0.1767,0.0985,0.0686,-0.1709,0.28,0.41,0.34
commons-imaging-1.0-alpha3-src,2858,2254,26,0,578,0.7887,0.8,0.99,0.8818,0.9886,0.0,0.7978,0.2022,0.6747,0.7958,0.2016,0.114,0.086,-0.2016,0.29,0.43,0.38
commons-geometry-1.0-src,5438,4123,62,22,1231,0.7622,0.77,0.99,0.8645,0.9852,0.0176,0.7696,0.2304,0.65,0.7733,0.2302,0.1122,0.0912,-0.2126,0.31,0.42,0.37
commons-dbutils-1.7,731,577,0,0,154,0.7893,0.79,1.0,0.8823,1.0,0.0,0.7893,0.2107,0.6703,0.7909,0.2217,0.119,0.0914,-0.2217,0.29,0.43,0.38
commons-jexl3-3.2.1-src,2946,2245,4,4,693,0.7634,0.76,1.0,0.8656,0.9982,0.0057,0.7634,0.2366,0.6397,0.7645,0.2313,0.1237,0.1011,-0.2256,0.27,0.41,0.33
springside4,2590,1753,101,40,696,0.6923,0.72,0.95,0.8148,0.9455,0.0543,0.7158,0.2842,0.5954,0.7181,0.2816,0.0969,0.0967,-0.2273,0.25,0.33,0.3
commons-rng-1.4-src,1641,1165,44,18,414,0.7209,0.74,0.96,0.8357,0.9636,0.0417,0.7367,0.2633,0.619,0.7413,0.2774,0.1019,0.0944,-0.2357,0.28,0.36,0.32
commons-vfs-2.9.0,1072,780,0,0,292,0.7276,0.73,1.0,0.8423,1.0,0.0,0.7276,0.2724,0.604,0.7279,0.2723,0.1236,0.1144,-0.2723,0.31,0.41,0.36
async-http-client,163,116,0,0,47,0.7117,0.71,1.0,0.8315,1.0,0.0,0.7117,0.2883,0.5883,0.7115,0.2749,0.1234,0.12,-0.2749,0.34,0.43,0.39
commons-configuration2-2.8.0-src,1253,843,2,2,406,0.6744,0.67,1.0,0.8052,0.9976,0.0049,0.6744,0.3256,0.5644,0.6782,0.3232,0.11,0.127,-0.3183,0.27,0.39,0.33
commons-net-3.8.0,3369,2222,11,5,1131,0.661,0.66,1.0,0.7956,0.9951,0.0044,0.6628,0.3372,0.5552,0.6661,0.3304,0.1058,0.1295,-0.326,0.31,0.32,0.31
commons-weaver-2.0-src,232,152,2,0,78,0.6552,0.66,0.99,0.7917,0.987,0.0,0.6638,0.3362,0.5548,0.6629,0.3453,0.1004,0.1288,-0.3453,0.32,0.4,0.36
commons-beanutils-1.9.4,1708,993,10,2,703,0.5826,0.59,0.99,0.7358,0.99,0.0028,0.5872,0.4128,0.5195,0.5895,0.4227,0.0631,0.1463,-0.4199,0.24,0.36,0.29
scribejava,182,93,0,0,89,0.511,0.51,1.0,0.6764,1.0,0.0,0.511,0.489,0.5027,0.5064,0.5046,0.0083,0.17,-0.5046,0.3,0.42,0.36
all,169099,152967,1086,212,14834,0.9059,0.91,0.99,0.9505,0.993,0.0141,0.911,0.089,0.8367,0.9103,0.0894,0.0692,0.0402,-0.0753,0.24,0.39,0.33
