project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-numbers-1.0-src,2783,2675,28,6,74,0.9633,0.97,0.99,0.9813,0.9896,0.075,0.9713,0.0287,0.9871,0.9935,0.008,-0.0238,-0.0122,0.067,0.13,0.24,0.16
JSON-java,129,88,14,1,26,0.6899,0.77,0.86,0.8148,0.8627,0.037,0.7907,0.2093,0.9683,0.9839,0.01,-0.2784,-0.1691,0.027,0.15,0.32,0.17
commons-pool2-2.11.1-src,63,57,3,0,3,0.9048,0.95,0.95,0.95,0.95,0.0,0.9524,0.0476,0.9844,0.9922,0.0118,-0.0796,-0.0422,-0.0118,0.15,0.29,0.19
commons-jcs3-3.1-src,57,37,1,2,17,0.6842,0.69,0.97,0.8043,0.9737,0.1053,0.6667,0.3333,0.7645,0.8638,0.1275,-0.0803,-0.0595,-0.0222,0.15,0.21,0.16
joda-time,882,618,14,13,237,0.7154,0.72,0.98,0.8312,0.9778,0.052,0.7166,0.2834,0.8797,0.9357,0.0751,-0.1643,-0.1045,-0.0231,0.14,0.21,0.16
spark,58,30,6,1,21,0.5345,0.59,0.83,0.6897,0.8333,0.0455,0.6207,0.3793,0.8639,0.9265,0.0802,-0.3294,-0.2368,-0.0347,0.15,0.21,0.17
jsoup,1166,1034,2,4,126,0.8902,0.89,1.0,0.9417,0.9981,0.0308,0.8885,0.1115,0.8804,0.9361,0.0734,0.0098,0.0056,-0.0426,0.09,0.37,0.18
bcel-6.5.0-src,340,263,15,7,55,0.7941,0.83,0.95,0.8826,0.946,0.1129,0.8176,0.1824,0.7207,0.8319,0.1767,0.0734,0.0507,-0.0638,0.18,0.23,0.19
commons-lang3-3.12.0-src,1816,1518,52,14,232,0.8436,0.87,0.97,0.9145,0.9669,0.0569,0.8645,0.1355,0.7925,0.8823,0.1292,0.0511,0.0322,-0.0723,0.13,0.24,0.16
commons-collections4-4.4-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7784,0.8729,0.1381,-0.7784,-0.8729,-0.1381,0.15,0.31,0.19
commons-geometry-1.0-src,61,47,2,1,11,0.7869,0.81,0.96,0.8785,0.9592,0.0833,0.8033,0.1967,0.65,0.7733,0.2302,0.1369,0.1052,-0.1469,0.16,0.22,0.18
commons-validator-1.7,187,144,31,0,12,0.7701,0.92,0.82,0.8701,0.8229,0.0,0.9358,0.0642,0.7497,0.8528,0.1635,0.0204,0.0173,-0.1635,0.14,0.24,0.17
commons-rng-1.4-src,102,70,1,3,28,0.7157,0.71,0.99,0.8284,0.9859,0.0968,0.6961,0.3039,0.619,0.7413,0.2774,0.0967,0.0871,-0.1806,0.15,0.25,0.17
commons-imaging-1.0-alpha3-src,15,8,0,0,7,0.5333,0.53,1.0,0.6957,1.0,0.0,0.5333,0.4667,0.6747,0.7958,0.2016,-0.1414,-0.1001,-0.2016,0.2,0.18,0.19
commons-dbutils-1.7,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6703,0.7909,0.2217,0.3297,0.2091,-0.2217,0.23,0.11,0.2
springside4,258,131,11,6,110,0.531,0.54,0.92,0.6841,0.9225,0.0517,0.5504,0.4496,0.5954,0.7181,0.2816,-0.0644,-0.034,-0.2299,0.18,0.18,0.18
commons-jexl3-3.2.1-src,38,25,0,0,13,0.6579,0.66,1.0,0.7937,1.0,0.0,0.6579,0.3421,0.6397,0.7645,0.2313,0.0182,0.0292,-0.2313,0.14,0.25,0.16
commons-net-3.8.0,115,81,9,2,23,0.7217,0.78,0.9,0.8351,0.9,0.08,0.7826,0.2174,0.5552,0.6661,0.3304,0.1665,0.169,-0.2504,0.21,0.13,0.18
commons-configuration2-2.8.0-src,61,27,1,2,31,0.4754,0.47,0.96,0.6279,0.9643,0.0606,0.459,0.541,0.5644,0.6782,0.3232,-0.089,-0.0503,-0.2626,0.18,0.18,0.18
commons-vfs-2.9.0,15,12,0,0,3,0.8,0.8,1.0,0.8889,1.0,0.0,0.8,0.2,0.604,0.7279,0.2723,0.196,0.161,-0.2723,0.18,0.2,0.18
commons-weaver-2.0-src,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5548,0.6629,0.3453,0.4452,0.3371,-0.3453,0.14,0.31,0.2
commons-beanutils-1.9.4,95,41,0,0,54,0.4316,0.43,1.0,0.6029,1.0,0.0,0.4316,0.5684,0.5195,0.5895,0.4227,-0.0879,0.0134,-0.4227,0.16,0.32,0.19
scribejava,4,1,0,0,3,0.25,0.25,1.0,0.4,1.0,0.0,0.25,0.75,0.5027,0.5064,0.5046,-0.2527,-0.1064,-0.5046,0.15,0.27,0.18
all,8252,6913,190,62,1087,0.8452,0.86,0.97,0.9154,0.9733,0.054,0.8608,0.1392,0.8367,0.9103,0.0894,0.0085,0.0051,-0.0354,0.13,0.26,0.16
