project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-pool2-2.11.1-src,11244,10613,546,7,78,0.9445,0.99,0.95,0.9714,0.9511,0.0824,0.9924,0.0076,0.9844,0.9922,0.0118,-0.0399,-0.0208,0.0706,0.36,0.54,0.48
commons-numbers-1.0-src,39866,39574,43,12,237,0.993,0.99,1.0,0.9965,0.9989,0.0482,0.9938,0.0062,0.9871,0.9935,0.008,0.0059,0.003,0.0402,0.18,0.29,0.26
http-request,4069,4051,0,0,18,0.9956,1.0,1.0,0.9978,1.0,0.0,0.9956,0.0044,0.9912,0.9956,0.0,0.0044,0.0022,0.0,0.27,0.44,0.35
JSON-java,12911,12691,19,1,200,0.983,0.98,1.0,0.9914,0.9985,0.005,0.9844,0.0156,0.9683,0.9839,0.01,0.0147,0.0075,-0.005,0.24,0.51,0.42
joda-time,27480,25619,89,49,1723,0.9341,0.94,1.0,0.9658,0.9965,0.0277,0.9355,0.0645,0.8797,0.9357,0.0751,0.0544,0.0301,-0.0474,0.28,0.49,0.42
jsoup,8002,7414,70,11,507,0.9279,0.94,0.99,0.9625,0.9906,0.0212,0.9353,0.0647,0.8804,0.9361,0.0734,0.0475,0.0264,-0.0522,0.11,0.43,0.28
spark,5280,4871,16,5,388,0.9235,0.93,1.0,0.9602,0.9967,0.0127,0.9256,0.0744,0.8639,0.9265,0.0802,0.0596,0.0337,-0.0675,0.33,0.51,0.44
commons-lang3-3.12.0-src,12118,10391,295,72,1360,0.8634,0.88,0.97,0.9262,0.9724,0.0503,0.8818,0.1182,0.7925,0.8823,0.1292,0.0709,0.0439,-0.0789,0.21,0.35,0.27
commons-jcs3-3.1-src,4562,3934,6,11,611,0.8648,0.87,1.0,0.9273,0.9985,0.0177,0.8637,0.1363,0.7645,0.8638,0.1275,0.1003,0.0635,-0.1098,0.3,0.43,0.36
commons-collections4-4.4-src,1389,1216,1,1,171,0.8762,0.88,1.0,0.9339,0.9992,0.0058,0.8762,0.1238,0.7784,0.8729,0.1381,0.0978,0.061,-0.1323,0.36,0.46,0.43
bcel-6.5.0-src,15379,12461,332,58,2528,0.814,0.83,0.97,0.8971,0.974,0.0224,0.8318,0.1682,0.7207,0.8319,0.1767,0.0933,0.0652,-0.1543,0.28,0.45,0.35
commons-validator-1.7,2616,2086,137,2,391,0.7982,0.84,0.94,0.8877,0.9384,0.0051,0.8498,0.1502,0.7497,0.8528,0.1635,0.0485,0.0349,-0.1584,0.27,0.37,0.31
commons-imaging-1.0-alpha3-src,2858,2248,32,6,572,0.7887,0.8,0.99,0.8816,0.986,0.0104,0.7978,0.2022,0.6747,0.7958,0.2016,0.114,0.0858,-0.1912,0.29,0.47,0.39
commons-geometry-1.0-src,5438,4087,98,35,1218,0.758,0.77,0.98,0.8613,0.9766,0.0279,0.7696,0.2304,0.65,0.7733,0.2302,0.108,0.088,-0.2023,0.31,0.47,0.39
springside4,2590,1745,109,56,680,0.6954,0.72,0.94,0.8156,0.9412,0.0761,0.7158,0.2842,0.5954,0.7181,0.2816,0.1,0.0975,-0.2055,0.25,0.36,0.3
commons-rng-1.4-src,1641,1147,62,27,405,0.7154,0.74,0.95,0.8309,0.9487,0.0625,0.7367,0.2633,0.619,0.7413,0.2774,0.0964,0.0896,-0.2149,0.28,0.4,0.33
commons-dbutils-1.7,731,577,0,0,154,0.7893,0.79,1.0,0.8823,1.0,0.0,0.7893,0.2107,0.6703,0.7909,0.2217,0.119,0.0914,-0.2217,0.29,0.48,0.4
commons-jexl3-3.2.1-src,2946,2244,5,5,692,0.7634,0.76,1.0,0.8656,0.9978,0.0072,0.7634,0.2366,0.6397,0.7645,0.2313,0.1237,0.1011,-0.2241,0.27,0.45,0.34
commons-vfs-2.9.0,1072,779,1,1,291,0.7276,0.73,1.0,0.8422,0.9987,0.0034,0.7276,0.2724,0.604,0.7279,0.2723,0.1236,0.1143,-0.2689,0.31,0.45,0.38
async-http-client,163,116,0,0,47,0.7117,0.71,1.0,0.8315,1.0,0.0,0.7117,0.2883,0.5883,0.7115,0.2749,0.1234,0.12,-0.2749,0.34,0.49,0.41
commons-configuration2-2.8.0-src,1253,842,3,6,402,0.6768,0.68,1.0,0.8061,0.9964,0.0147,0.6744,0.3256,0.5644,0.6782,0.3232,0.1124,0.1279,-0.3085,0.27,0.44,0.34
commons-net-3.8.0,3369,2194,39,8,1128,0.6536,0.66,0.98,0.7899,0.9825,0.007,0.6628,0.3372,0.5552,0.6661,0.3304,0.0984,0.1238,-0.3234,0.31,0.35,0.32
commons-weaver-2.0-src,232,152,2,0,78,0.6552,0.66,0.99,0.7917,0.987,0.0,0.6638,0.3362,0.5548,0.6629,0.3453,0.1004,0.1288,-0.3453,0.32,0.45,0.37
commons-beanutils-1.9.4,1708,994,9,7,698,0.5861,0.59,0.99,0.7377,0.991,0.0099,0.5872,0.4128,0.5195,0.5895,0.4227,0.0666,0.1482,-0.4128,0.24,0.4,0.29
scribejava,182,93,0,0,89,0.511,0.51,1.0,0.6764,1.0,0.0,0.511,0.489,0.5027,0.5064,0.5046,0.0083,0.17,-0.5046,0.3,0.46,0.37
all,169099,152139,1914,380,14666,0.902,0.91,0.99,0.9483,0.9876,0.0253,0.911,0.089,0.8367,0.9103,0.0894,0.0653,0.038,-0.0641,0.24,0.41,0.34
