project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
JSON-java,22,4,15,1,2,0.2273,0.67,0.21,0.32,0.2105,0.3333,0.8636,0.1364,0.6603,0.7836,0.2022,-0.433,-0.4636,0.1311,0.08,0.39,0.12
commons-numbers-1.0-src,493,471,0,1,21,0.9574,0.96,1.0,0.9782,1.0,0.0455,0.9554,0.0446,0.9512,0.975,0.0317,0.0062,0.0032,0.0138,0.11,0.33,0.14
commons-lang3-3.12.0-src,147,96,0,6,45,0.6939,0.68,1.0,0.8101,1.0,0.1176,0.6531,0.3469,0.7753,0.8711,0.1245,-0.0814,-0.061,-0.0069,0.04,0.39,0.07
jsoup,51,29,1,1,20,0.5882,0.59,0.97,0.7342,0.9667,0.0476,0.5882,0.4118,0.8255,0.9035,0.0939,-0.2373,-0.1693,-0.0463,0.05,0.38,0.12
joda-time,84,32,5,8,39,0.4762,0.45,0.86,0.5926,0.8649,0.1702,0.4405,0.5595,0.6062,0.7308,0.2668,-0.13,-0.1382,-0.0966,0.06,0.37,0.11
commons-rng-1.4-src,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5654,0.6835,0.3014,0.4346,0.3165,-0.3014,0.06,0.36,0.15
commons-jcs3-3.1-src,5,4,0,0,1,0.8,0.8,1.0,0.8889,1.0,0.0,0.8,0.2,0.5665,0.6809,0.3191,0.2335,0.208,-0.3191,0.08,0.39,0.11
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5613,0.6635,0.3659,0.4387,0.3365,-0.3659,0.05,0.38,0.09
spark,2,1,0,0,1,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.4992,0.5377,0.4545,0.0008,0.129,-0.4545,0.12,0.31,0.15
commons-configuration2-2.8.0-src,3,2,0,0,1,0.6667,0.67,1.0,0.8,1.0,0.0,0.6667,0.3333,0.4979,0.4486,0.539,0.1688,0.3514,-0.539,0.1,0.35,0.14
all,822,654,21,17,130,0.8163,0.83,0.97,0.8965,0.9689,0.1156,0.8212,0.1788,0.8008,0.8879,0.1325,0.0155,0.0086,-0.0169,0.09,0.34,0.12
