project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-pool2-2.11.1-src,11244,10432,727,16,69,0.9292,0.99,0.93,0.9633,0.9349,0.1882,0.9924,0.0076,0.9844,0.9922,0.0118,-0.0552,-0.0289,0.1764,0.41,0.5,0.48
commons-numbers-1.0-src,39866,39597,20,12,237,0.9936,0.99,1.0,0.9968,0.9995,0.0482,0.9938,0.0062,0.9871,0.9935,0.008,0.0065,0.0033,0.0402,0.16,0.29,0.26
commons-collections4-4.4-src,1389,478,739,30,142,0.3657,0.77,0.39,0.5204,0.3928,0.1744,0.8762,0.1238,0.7784,0.8729,0.1381,-0.4127,-0.3525,0.0363,0.45,0.42,0.43
http-request,4069,4051,0,0,18,0.9956,1.0,1.0,0.9978,1.0,0.0,0.9956,0.0044,0.9912,0.9956,0.0,0.0044,0.0022,0.0,0.27,0.4,0.35
spark,5280,4770,117,30,363,0.9091,0.93,0.98,0.9521,0.9761,0.0763,0.9256,0.0744,0.8639,0.9265,0.0802,0.0452,0.0256,-0.0039,0.36,0.47,0.44
JSON-java,12911,12696,14,1,200,0.9834,0.98,1.0,0.9916,0.9989,0.005,0.9844,0.0156,0.9683,0.9839,0.01,0.0151,0.0077,-0.005,0.23,0.47,0.42
joda-time,27480,25443,265,123,1649,0.9303,0.94,0.99,0.9638,0.9897,0.0694,0.9355,0.0645,0.8797,0.9357,0.0751,0.0506,0.0281,-0.0057,0.29,0.47,0.42
jsoup,8002,7354,130,11,507,0.9204,0.94,0.98,0.9585,0.9826,0.0212,0.9353,0.0647,0.8804,0.9361,0.0734,0.04,0.0224,-0.0522,0.08,0.4,0.28
bcel-6.5.0-src,15379,12191,602,271,2315,0.8103,0.84,0.95,0.8931,0.9529,0.1048,0.8318,0.1682,0.7207,0.8319,0.1767,0.0896,0.0612,-0.0719,0.28,0.41,0.35
commons-lang3-3.12.0-src,12118,10312,374,69,1363,0.8567,0.88,0.97,0.9223,0.965,0.0482,0.8818,0.1182,0.7925,0.8823,0.1292,0.0642,0.04,-0.081,0.2,0.33,0.27
commons-validator-1.7,2616,1997,226,28,365,0.7741,0.85,0.9,0.8711,0.8983,0.0712,0.8498,0.1502,0.7497,0.8528,0.1635,0.0244,0.0183,-0.0923,0.28,0.34,0.31
commons-jcs3-3.1-src,4562,3876,64,20,602,0.854,0.87,0.98,0.9209,0.9838,0.0322,0.8637,0.1363,0.7645,0.8638,0.1275,0.0895,0.0571,-0.0953,0.32,0.39,0.36
commons-rng-1.4-src,1641,1090,119,73,359,0.7087,0.75,0.9,0.8202,0.9016,0.169,0.7367,0.2633,0.619,0.7413,0.2774,0.0897,0.0789,-0.1084,0.28,0.36,0.33
commons-geometry-1.0-src,5438,4065,120,64,1189,0.7593,0.77,0.97,0.8613,0.9713,0.0511,0.7696,0.2304,0.65,0.7733,0.2302,0.1093,0.088,-0.1791,0.33,0.42,0.39
commons-imaging-1.0-alpha3-src,2858,2251,29,0,578,0.7876,0.8,0.99,0.8812,0.9873,0.0,0.7978,0.2022,0.6747,0.7958,0.2016,0.1129,0.0854,-0.2016,0.3,0.43,0.39
commons-jexl3-3.2.1-src,2946,2224,25,13,684,0.7593,0.76,0.99,0.8625,0.9889,0.0187,0.7634,0.2366,0.6397,0.7645,0.2313,0.1196,0.098,-0.2126,0.27,0.41,0.34
commons-dbutils-1.7,731,571,6,0,154,0.7811,0.79,0.99,0.8771,0.9896,0.0,0.7893,0.2107,0.6703,0.7909,0.2217,0.1108,0.0862,-0.2217,0.31,0.43,0.4
commons-configuration2-2.8.0-src,1253,788,57,36,372,0.6576,0.68,0.93,0.786,0.9325,0.0882,0.6744,0.3256,0.5644,0.6782,0.3232,0.0932,0.1078,-0.235,0.28,0.39,0.33
commons-vfs-2.9.0,1072,702,78,10,282,0.6642,0.71,0.9,0.7959,0.9,0.0342,0.7276,0.2724,0.604,0.7279,0.2723,0.0602,0.068,-0.2381,0.33,0.41,0.38
springside4,2590,1787,67,28,708,0.7008,0.72,0.96,0.8218,0.9639,0.038,0.7158,0.2842,0.5954,0.7181,0.2816,0.1054,0.1037,-0.2436,0.25,0.33,0.3
async-http-client,163,111,5,1,46,0.6871,0.71,0.96,0.8132,0.9569,0.0213,0.7117,0.2883,0.5883,0.7115,0.2749,0.0988,0.1017,-0.2536,0.38,0.43,0.41
commons-weaver-2.0-src,232,149,5,4,74,0.6595,0.67,0.97,0.7905,0.9675,0.0513,0.6638,0.3362,0.5548,0.6629,0.3453,0.1047,0.1276,-0.294,0.34,0.4,0.37
commons-net-3.8.0,3369,2182,51,41,1095,0.6598,0.67,0.98,0.792,0.9772,0.0361,0.6628,0.3372,0.5552,0.6661,0.3304,0.1046,0.1259,-0.2943,0.32,0.32,0.32
commons-beanutils-1.9.4,1708,861,142,40,665,0.5275,0.56,0.86,0.6809,0.8584,0.0567,0.5872,0.4128,0.5195,0.5895,0.4227,0.008,0.0914,-0.366,0.24,0.36,0.29
scribejava,182,91,2,1,88,0.5055,0.51,0.98,0.6691,0.9785,0.0112,0.511,0.489,0.5027,0.5064,0.5046,0.0028,0.1627,-0.4934,0.32,0.42,0.37
all,169099,150069,3984,922,14124,0.8929,0.91,0.97,0.9431,0.9741,0.0613,0.911,0.089,0.8367,0.9103,0.0894,0.0562,0.0328,-0.0281,0.24,0.39,0.34
