project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-pool2-2.11.1-src,75,71,3,1,0,0.96,1.0,0.96,0.9793,0.9595,1.0,0.9867,0.0133,0.923,0.9598,0.0359,0.037,0.0195,0.9641,0.14,0.3,0.18
commons-lang3-3.12.0-src,1533,1405,58,21,49,0.9302,0.97,0.96,0.9633,0.9604,0.3,0.9543,0.0457,0.7753,0.8711,0.1245,0.1549,0.0922,0.1755,0.14,0.22,0.16
commons-numbers-1.0-src,1938,1865,36,2,35,0.9634,0.98,0.98,0.9813,0.9811,0.0541,0.9809,0.0191,0.9512,0.975,0.0317,0.0122,0.0063,0.0224,0.17,0.24,0.19
bcel-6.5.0-src,368,311,38,3,16,0.8533,0.95,0.89,0.9201,0.8911,0.1579,0.9484,0.0516,0.7245,0.8352,0.156,0.1288,0.0849,0.0019,0.17,0.23,0.18
commons-weaver-2.0-src,6,6,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.31,0.2
jsoup,1352,1310,3,1,38,0.9697,0.97,1.0,0.9846,0.9977,0.0256,0.9712,0.0288,0.8255,0.9035,0.0939,0.1442,0.0811,-0.0683,0.06,0.37,0.18
commons-validator-1.7,193,155,38,0,0,0.8031,1.0,0.8,0.8908,0.8031,0.0,1.0,0.0,0.8725,0.9314,0.0724,-0.0694,-0.0406,-0.0724,0.1,0.24,0.15
joda-time,914,757,21,25,111,0.8556,0.87,0.97,0.9198,0.973,0.1838,0.8512,0.1488,0.6062,0.7308,0.2668,0.2494,0.189,-0.083,0.13,0.22,0.16
commons-dbutils-1.7,6,6,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8004,0.8841,0.107,0.1996,0.1159,-0.107,0.24,0.11,0.2
commons-rng-1.4-src,69,48,9,2,10,0.7246,0.83,0.84,0.8348,0.8421,0.1667,0.8261,0.1739,0.5654,0.6835,0.3014,0.1592,0.1513,-0.1347,0.12,0.25,0.16
JSON-java,133,97,15,1,20,0.7368,0.83,0.87,0.8472,0.8661,0.0476,0.8421,0.1579,0.6603,0.7836,0.2022,0.0765,0.0636,-0.1546,0.14,0.34,0.17
commons-geometry-1.0-src,84,76,6,0,2,0.9048,0.97,0.93,0.95,0.9268,0.0,0.9762,0.0238,0.6919,0.8093,0.1905,0.2129,0.1407,-0.1905,0.15,0.23,0.18
commons-net-3.8.0,112,94,11,0,7,0.8393,0.93,0.9,0.9126,0.8952,0.0,0.9375,0.0625,0.668,0.7882,0.2334,0.1713,0.1244,-0.2334,0.18,0.16,0.17
commons-vfs-2.9.0,12,12,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6412,0.761,0.2432,0.3588,0.239,-0.2432,0.15,0.2,0.17
commons-jcs3-3.1-src,47,38,0,0,9,0.8085,0.81,1.0,0.8941,1.0,0.0,0.8085,0.1915,0.5665,0.6809,0.3191,0.242,0.2132,-0.3191,0.15,0.23,0.16
springside4,271,236,8,1,26,0.8745,0.9,0.97,0.9328,0.9672,0.037,0.9004,0.0996,0.5205,0.6097,0.3782,0.354,0.3231,-0.3412,0.15,0.21,0.17
commons-jexl3-3.2.1-src,21,18,0,0,3,0.8571,0.86,1.0,0.9231,1.0,0.0,0.8571,0.1429,0.5613,0.6635,0.3659,0.2958,0.2596,-0.3659,0.15,0.23,0.16
spark,55,35,4,0,16,0.6364,0.69,0.9,0.7778,0.8974,0.0,0.7091,0.2909,0.4992,0.5377,0.4545,0.1372,0.2401,-0.4545,0.14,0.24,0.16
commons-configuration2-2.8.0-src,51,27,0,2,22,0.5686,0.55,1.0,0.7105,1.0,0.0833,0.5294,0.4706,0.4979,0.4486,0.539,0.0707,0.2619,-0.4557,0.17,0.21,0.18
commons-imaging-1.0-alpha3-src,8,8,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4882,0.509,0.4597,0.5118,0.491,-0.4597,0.17,0.18,0.18
commons-beanutils-1.9.4,76,51,6,0,19,0.6711,0.73,0.89,0.8031,0.8947,0.0,0.75,0.25,0.5049,0.4978,0.5175,0.1662,0.3053,-0.5175,0.16,0.31,0.19
scribejava,4,1,0,0,3,0.25,0.25,1.0,0.4,1.0,0.0,0.25,0.75,0.6206,0.1895,0.7471,-0.3706,0.2105,-0.7471,0.14,0.34,0.18
all,7328,6627,256,59,386,0.9124,0.94,0.96,0.9538,0.9628,0.1326,0.9393,0.0607,0.8008,0.8879,0.1325,0.1116,0.0659,0.0001,0.15,0.27,0.18
