project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
bcel-6.5.0-src,49,21,6,6,16,0.551,0.57,0.78,0.6562,0.7778,0.2727,0.551,0.449,0.7245,0.8352,0.156,-0.1735,-0.179,0.1167,0.13,0.17,0.14
commons-net-3.8.0,47,29,5,3,10,0.6809,0.74,0.85,0.7945,0.8529,0.2308,0.7234,0.2766,0.668,0.7882,0.2334,0.0129,0.0063,-0.0026,0.17,0.11,0.13
commons-numbers-1.0-src,941,867,28,1,45,0.9224,0.95,0.97,0.9596,0.9687,0.0217,0.9511,0.0489,0.9512,0.975,0.0317,-0.0288,-0.0154,-0.01,0.11,0.25,0.13
commons-lang3-3.12.0-src,684,525,24,12,123,0.7851,0.81,0.96,0.8772,0.9563,0.0889,0.8026,0.1974,0.7753,0.8711,0.1245,0.0098,0.0061,-0.0356,0.06,0.19,0.08
commons-pool2-2.11.1-src,3,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.923,0.9598,0.0359,-0.923,-0.9598,-0.0359,0.07,0.21,0.13
jsoup,175,106,2,2,65,0.6171,0.62,0.98,0.7599,0.9815,0.0299,0.6171,0.3829,0.8255,0.9035,0.0939,-0.2084,-0.1436,-0.064,0.07,0.24,0.12
commons-validator-1.7,93,85,6,0,2,0.914,0.98,0.93,0.9551,0.9341,0.0,0.9785,0.0215,0.8725,0.9314,0.0724,0.0415,0.0237,-0.0724,0.08,0.22,0.12
JSON-java,38,15,15,1,7,0.4211,0.68,0.5,0.5769,0.5,0.125,0.7895,0.2105,0.6603,0.7836,0.2022,-0.2392,-0.2067,-0.0772,0.09,0.19,0.11
commons-rng-1.4-src,51,26,9,3,13,0.5686,0.67,0.74,0.7027,0.7429,0.1875,0.6863,0.3137,0.5654,0.6835,0.3014,0.0032,0.0192,-0.1139,0.12,0.19,0.14
joda-time,340,218,15,13,94,0.6794,0.7,0.94,0.8,0.9356,0.1215,0.6853,0.3147,0.6062,0.7308,0.2668,0.0732,0.0692,-0.1453,0.08,0.17,0.11
commons-jcs3-3.1-src,25,18,0,1,6,0.76,0.75,1.0,0.8571,1.0,0.1429,0.72,0.28,0.5665,0.6809,0.3191,0.1935,0.1762,-0.1762,0.1,0.14,0.11
commons-geometry-1.0-src,25,16,3,0,6,0.64,0.73,0.84,0.7805,0.8421,0.0,0.76,0.24,0.6919,0.8093,0.1905,-0.0519,-0.0288,-0.1905,0.12,0.16,0.13
commons-vfs-2.9.0,7,6,0,0,1,0.8571,0.86,1.0,0.9231,1.0,0.0,0.8571,0.1429,0.6412,0.761,0.2432,0.2159,0.1621,-0.2432,0.12,0.17,0.14
springside4,93,47,0,4,42,0.5484,0.53,1.0,0.6912,1.0,0.087,0.5054,0.4946,0.5205,0.6097,0.3782,0.0279,0.0815,-0.2912,0.12,0.16,0.13
commons-jexl3-3.2.1-src,18,17,0,0,1,0.9444,0.94,1.0,0.9714,1.0,0.0,0.9444,0.0556,0.5613,0.6635,0.3659,0.3831,0.3079,-0.3659,0.08,0.18,0.09
spark,37,19,4,0,14,0.5135,0.58,0.83,0.6786,0.8261,0.0,0.6216,0.3784,0.4992,0.5377,0.4545,0.0143,0.1409,-0.4545,0.12,0.17,0.14
commons-beanutils-1.9.4,8,2,0,0,6,0.25,0.25,1.0,0.4,1.0,0.0,0.25,0.75,0.5049,0.4978,0.5175,-0.2549,-0.0978,-0.5175,0.12,0.23,0.15
commons-configuration2-2.8.0-src,8,4,0,0,4,0.5,0.5,1.0,0.6667,1.0,0.0,0.5,0.5,0.4979,0.4486,0.539,0.0021,0.2181,-0.539,0.13,0.15,0.13
scribejava,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6206,0.1895,0.7471,-0.6206,-0.1895,-0.7471,0.14,0.11,0.14
all,2643,2021,118,46,458,0.7821,0.82,0.94,0.8753,0.9448,0.0913,0.8093,0.1907,0.8008,0.8879,0.1325,-0.0187,-0.0126,-0.0412,0.1,0.22,0.12
